Sl no.,District Name,State,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
198,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,3200,2800,18-Sep-24
199,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,07-Feb-25
200,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,3200,2600,22-Sep-24
201,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,3000,5500,5000,25-Oct-24
202,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1400,1200,01-Apr-24
203,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,3600,2800,20-Oct-24
204,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,20-Aug-24
205,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,24-Mar-25
206,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,4400,3800,15-Jun-24
207,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,19-Feb-25
208,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,06-Apr-25
209,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,25-Dec-24
210,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,2000,1600,14-Sep-24
211,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,24-Apr-24
212,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,23-Dec-24
213,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,1800,1600,13-Aug-24
214,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,2600,2300,06-Dec-24
215,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,17-Mar-25
216,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,30-Aug-24
217,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,31-Aug-24
218,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,2000,1500,09-Nov-24
219,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,7200,5000,04-Oct-24
220,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,14-Apr-25
221,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,4200,3000,10-Jun-24
222,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,26-Mar-25
223,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,23-Feb-25
224,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,4000,3000,10-Jul-24
225,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1600,6000,5000,18-Jul-24
226,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,600,14-Jan-25
227,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1400,1100,16-Aug-24
228,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1600,1200,11-May-24
229,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1600,1300,22-Apr-24
230,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,19-Apr-25
231,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,2000,4000,3500,07-Jul-24
232,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,25-Mar-25
233,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,2800,2200,03-Jun-24
234,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,2800,2000,31-Oct-24
235,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,3200,2800,07-Jun-24
236,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,16-Dec-24
237,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,31-Dec-24
238,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,2000,1600,20-May-24
239,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1600,1200,04-Sep-24
240,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,23-Jan-25
241,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,4000,3000,17-Oct-24
242,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,4000,3200,18-Oct-24
243,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,3600,2800,21-Oct-24
244,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,02-Apr-25
245,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1400,1100,22-Aug-24
246,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1600,6400,5000,16-Jul-24
247,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1000,2400,2000,30-Oct-24
248,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,3600,3000,25-Jul-24
249,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1000,6000,5000,03-Oct-24
250,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,17-Apr-25
251,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,19-Apr-24
252,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,25-Apr-24
253,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,16-Feb-25
254,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1800,1400,16-May-24
255,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,22-Jan-25
256,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,4000,3500,01-Jul-24
257,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,3200,2800,25-Nov-24
258,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,3800,2800,02-Dec-24
259,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1200,1000,29-Aug-24
260,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,5400,3600,16-Jun-24
261,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,11-Mar-25
262,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,600,2200,1800,10-Aug-24
263,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,10-Mar-25
264,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,1200,6000,5000,08-Oct-24
265,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,1000,800,16-Jan-25
266,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,2400,2000,02-Jun-24
267,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,800,4000,3500,09-Jul-24
268,Hyderabad,Telangana,Bowenpally,Tomato,Deshi,FAQ,400,800,700,16-Mar-25
